date time,total,used,free,shared,buff/cache,available , GPU memory, CPU freq, GPU freq, GPU util, CPU temp, GPU temp
2020-06-25 22:28:07 ,3964,422,2754,26,787,3351, 0, 1479, 76, 0, 36.5, 36.0 
2020-06-25 22:28:09 ,3964,422,2754,26,787,3351, 0, 1479, 76, 0, 36.5, 36.0 
2020-06-25 22:28:10 ,3964,423,2752,26,787,3350, 0, 1479, 76, 0, 37.0, 36.0 
2020-06-25 22:28:11 ,3964,452,2705,26,806,3321, 0, 1479, 76, 0, 37.0, 36.5 
2020-06-25 22:28:12 ,3964,468,2671,26,824,3305, 0, 1479, 76, 0, 37.5, 36.5 
2020-06-25 22:28:13 ,3964,476,2658,26,830,3297, 0, 1479, 76, 0, 37.0, 36.5 
2020-06-25 22:28:14 ,3964,477,2652,26,834,3296, 0, 1479, 76, 0, 37.5, 36.5 
2020-06-25 22:28:15 ,3964,476,2652,26,834,3296, 0, 1479, 76, 0, 37.0, 36.0 
2020-06-25 22:28:16 ,3964,476,2652,26,834,3296, 0, 1479, 76, 0, 36.0, 36.5 
2020-06-25 22:28:17 ,3964,641,2487,26,834,3131, 0, 1479, 76, 0, 39.0, 36.5 
2020-06-25 22:28:18 ,3964,711,2317,26,935,3061, 0, 1479, 76, 0, 37.5, 36.5 
2020-06-25 22:28:19 ,3964,711,2141,26,1111,3060, 0, 1479, 76, 0, 37.0, 36.5 
2020-06-25 22:28:20 ,3964,711,1967,26,1285,3058, 0, 1479, 76, 0, 37.5, 36.0 
2020-06-25 22:28:21 ,3964,944,1926,26,1093,2828, 0, 1479, 76, 0, 36.0, 36.5 
2020-06-25 22:28:22 ,3964,698,2189,26,1076,3074, 0, 1479, 76, 0, 37.0, 36.0 
2020-06-25 22:28:23 ,3964,755,2080,26,1128,3013, 29, 1479, 76, 187, 37.0, 36.0 
2020-06-25 22:28:24 ,3964,808,1974,26,1181,2959, 41, 1479, 76, 0, 37.0, 36.0 
2020-06-25 22:28:25 ,3964,883,1849,26,1231,2884, 55, 1479, 76, 0, 37.0, 36.5 
2020-06-25 22:28:27 ,3964,970,1714,26,1278,2797, 74, 1479, 76, 0, 37.0, 36.5 
2020-06-25 22:28:28 ,3964,1092,1553,26,1318,2675, 96, 1479, 76, 0, 37.5, 37.0 
2020-06-25 22:28:29 ,3964,1160,1435,26,1367,2607, 112, 1479, 76, 339, 37.5, 36.5 
2020-06-25 22:28:30 ,3964,1295,1255,26,1413,2472, 134, 1479, 76, 318, 37.5, 36.5 
2020-06-25 22:28:31 ,3964,1330,1190,26,1443,2437, 145, 1479, 76, 285, 36.5, 36.5 
2020-06-25 22:28:32 ,3964,1409,1063,26,1491,2358, 160, 1479, 76, 296, 37.5, 36.5 
2020-06-25 22:28:33 ,3964,1496,941,26,1525,2271, 174, 1479, 76, 19, 37.5, 36.5 
2020-06-25 22:28:34 ,3964,1590,815,26,1557,2176, 194, 1479, 76, 311, 37.0, 36.5 
2020-06-25 22:28:35 ,3964,1669,695,26,1599,2098, 209, 1479, 76, 116, 37.5, 36.5 
2020-06-25 22:28:36 ,3964,1745,598,27,1620,2021, 443, 1479, 153, 0, 36.5, 37.0 
2020-06-25 22:28:37 ,3964,1832,763,27,1368,1940, 457, 1479, 153, 0, 38.0, 36.5 
2020-06-25 22:28:38 ,3964,1946,608,27,1409,1826, 476, 1479, 153, 401, 37.5, 37.0 
2020-06-25 22:28:39 ,3964,2001,503,27,1459,1772, 488, 1479, 153, 0, 37.0, 36.5 
2020-06-25 22:28:40 ,3964,2018,501,27,1444,1755, 488, 1479, 153, 0, 37.0, 36.5 
2020-06-25 22:28:42 ,3964,2084,488,27,1391,1691, 500, 1479, 153, 0, 37.5, 37.0 
2020-06-25 22:28:43 ,3964,2180,498,27,1285,1596, 523, 1479, 153, 0, 37.0, 36.5 
2020-06-25 22:28:44 ,3964,2284,498,27,1181,1492, 588, 1479, 230, 144, 37.5, 36.5 
2020-06-25 22:28:45 ,3964,2358,491,26,1114,1419, 602, 1479, 230, 0, 38.0, 36.5 
2020-06-25 22:28:46 ,3964,2434,491,26,1038,1343, 615, 1479, 230, 132, 38.0, 37.0 
2020-06-25 22:28:47 ,3964,2665,572,25,726,1114, 829, 825, 384, 0, 36.5, 36.5 
2020-06-25 22:28:49 ,3964,2900,502,24,560,880, 1044, 1479, 614, 0, 38.0, 37.5 
2020-06-25 22:28:51 ,3964,3162,499,20,302,622, 1306, 825, 921, 796, 38.0, 38.0 
2020-06-25 22:28:52 ,3964,3161,497,21,305,622, 1306, 1479, 921, 997, 38.0, 38.0 
2020-06-25 22:28:53 ,3964,3159,494,21,310,625, 1306, 1479, 921, 997, 39.0, 38.5 
2020-06-25 22:28:54 ,3964,3158,495,21,310,625, 1306, 1479, 921, 996, 38.5, 39.0 
2020-06-25 22:28:55 ,3964,3159,494,21,310,625, 1306, 1479, 921, 996, 39.0, 38.5 
2020-06-25 22:28:56 ,3964,3159,494,21,310,625, 1306, 1479, 921, 996, 38.5, 39.0 
2020-06-25 22:28:57 ,3964,3158,494,20,310,625, 1306, 1479, 921, 997, 39.0, 39.0 
2020-06-25 22:28:58 ,3964,3158,495,20,310,626, 1306, 1479, 921, 996, 38.5, 39.0 
2020-06-25 22:29:00 ,3964,3157,495,21,311,626, 1306, 1428, 921, 884, 38.5, 38.5 
2020-06-25 22:29:01 ,3964,3159,493,21,311,624, 1306, 1479, 921, 997, 38.5, 39.0 
2020-06-25 22:29:02 ,3964,3157,494,21,311,626, 1306, 1479, 921, 997, 39.0, 39.0 
2020-06-25 22:29:03 ,3964,3159,493,21,311,625, 1306, 1479, 921, 997, 39.0, 39.0 
2020-06-25 22:29:04 ,3964,3158,493,21,311,625, 1306, 1479, 921, 997, 39.0, 39.5 
2020-06-25 22:29:05 ,3964,3160,492,20,311,624, 1306, 1479, 921, 997, 39.5, 39.0 
2020-06-25 22:29:06 ,3964,3158,501,20,304,626, 1306, 1479, 921, 996, 39.0, 39.5 
2020-06-25 22:29:07 ,3964,3157,501,20,304,626, 1306, 1479, 921, 997, 39.5, 39.5 
2020-06-25 22:29:08 ,3964,3157,501,20,304,626, 1306, 1479, 921, 997, 39.0, 39.5 
2020-06-25 22:29:09 ,3964,3158,500,21,305,626, 1306, 1479, 921, 892, 39.5, 39.5 
